open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volume,taker_quote_volume
2024-12-20 05:50:00+00:00,96931.72,96931.73,96790.0,96790.01,131.08085,2024-12-20 05:54:59.999000+00:00,12694079.2060956,14411.0,31.3292,3034084.9176203
2024-12-20 05:55:00+00:00,96790.01,96862.3,96672.47,96734.32,100.99838,2024-12-20 05:59:59.999000+00:00,9771523.1303252,17239.0,45.46589,4398807.4283135
2024-12-20 06:00:00+00:00,96734.33,96977.56,96708.0,96966.31,111.57398,2024-12-20 06:04:59.999000+00:00,10805161.2793791,16269.0,64.46782,6242749.1486665
2024-12-20 06:05:00+00:00,96966.3,96967.71,96774.07,96895.99,102.79915,2024-12-20 06:09:59.999000+00:00,9960248.9252865,19173.0,43.37805,4202679.9860996
2024-12-20 06:10:00+00:00,96898.27,97050.0,96820.48,96906.84,110.74204,2024-12-20 06:14:59.999000+00:00,10735844.001498,14409.0,62.98572,6106183.6354098
2024-12-20 06:15:00+00:00,96906.85,97263.18,96858.64,97245.53,82.8562,2024-12-20 06:19:59.999000+00:00,8043278.7599267,19034.0,45.92103,4458197.3476098
2024-12-20 06:20:00+00:00,97245.54,97303.99,97172.34,97172.34,64.98994,2024-12-20 06:24:59.999000+00:00,6320437.6647915,10928.0,23.22085,2258302.4735673
2024-12-20 06:25:00+00:00,97172.34,97172.35,96669.68,96708.0,128.70115,2024-12-20 06:29:59.999000+00:00,12474565.6653575,23895.0,40.14533,3888312.5737464
2024-12-20 06:30:00+00:00,96708.0,96802.72,96625.64,96635.44,148.83742,2024-12-20 06:34:59.999000+00:00,14394585.1851469,21171.0,85.39961,8259480.3639863
2024-12-20 06:35:00+00:00,96635.44,96644.0,96374.03,96498.33,187.63806,2024-12-20 06:39:59.999000+00:00,18110662.6259697,30387.0,67.90291,6554352.1752328
2024-12-20 06:40:00+00:00,96498.34,96818.19,96496.91,96525.96,185.97819,2024-12-20 06:44:59.999000+00:00,17983568.7325553,31167.0,104.27406,10082729.0291439
2024-12-20 06:45:00+00:00,96525.96,96836.36,96445.0,96805.17,226.63518,2024-12-20 06:49:59.999000+00:00,21906713.7842896,32178.0,111.93351,10820021.6106835
2024-12-20 06:50:00+00:00,96805.16,96993.01,96789.54,96853.61,97.22258,2024-12-20 06:54:59.999000+00:00,9418927.5743242,29259.0,42.51552,4119171.5982675
2024-12-20 06:55:00+00:00,96853.6,97281.38,96723.81,97281.37,215.63243,2024-12-20 06:59:59.999000+00:00,20901660.4823281,43677.0,125.87073,12205248.5326244
2024-12-20 07:00:00+00:00,97281.38,97777.0,97276.5,97755.1,399.67823,2024-12-20 07:04:59.999000+00:00,38993711.4397911,49812.0,189.9466,18531728.4921353
2024-12-20 07:05:00+00:00,97755.1,98229.33,97755.1,98202.88,378.26198,2024-12-20 07:09:59.999000+00:00,37085274.0174594,52929.0,197.46756,19357513.4110179
2024-12-20 07:10:00+00:00,98202.88,98232.0,98015.98,98039.82,239.63914,2024-12-20 07:14:59.999000+00:00,23510673.9276811,35290.0,112.6787,11054855.90367
