open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volume,taker_quote_volume
2024-12-23 14:20:00+00:00,3343.26,3354.0,3343.21,3348.38,1893.2046,2024-12-23 14:24:59.999000+00:00,6342478.03599,11966,1387.9977,4650443.7977
2024-12-23 14:25:00+00:00,3348.39,3352.0,3347.0,3351.82,1003.2976,2024-12-23 14:29:59.999000+00:00,3360587.887119,12999,547.1483,1833005.949342
2024-12-23 14:30:00+00:00,3351.82,3355.27,3340.71,3340.84,2479.9641,2024-12-23 14:34:59.999000+00:00,8307365.394547,27312,1322.3211,4430775.172603
2024-12-23 14:35:00+00:00,3340.84,3341.25,3321.81,3324.19,3569.21,2024-12-23 14:39:59.999000+00:00,11890983.984356,32012,1351.1225,4500234.686052
2024-12-23 14:40:00+00:00,3324.19,3324.19,3303.13,3303.14,4927.9466,2024-12-23 14:44:59.999000+00:00,16312347.18121,38148,2151.2631,7121382.036403
2024-12-23 14:45:00+00:00,3303.13,3311.0,3282.97,3290.15,5012.4753,2024-12-23 14:49:59.999000+00:00,16516062.947462,45372,2186.6033,7203746.658221
2024-12-23 14:50:00+00:00,3290.16,3295.62,3281.4,3293.92,3576.77,2024-12-23 14:54:59.999000+00:00,11761615.776176,33088,1934.0915,6360458.670412
2024-12-23 14:55:00+00:00,3293.91,3323.88,3287.2,3313.12,3476.5809,2024-12-23 14:59:59.999000+00:00,11503563.063951,33060,2302.4348,7619142.040601
2024-12-23 15:00:00+00:00,3313.12,3314.29,3298.22,3300.83,3423.3567,2024-12-23 15:04:59.999000+00:00,11314588.153198,38904,1697.5918,5610623.16688
2024-12-23 15:05:00+00:00,3300.82,3308.63,3291.61,3295.03,2262.862,2024-12-23 15:09:59.999000+00:00,7465643.886644,25618,1042.9162,3441178.004211
2024-12-23 15:10:00+00:00,3295.02,3312.76,3285.6,3304.0,3049.2749,2024-12-23 15:14:59.999000+00:00,10060004.818731,30158,1711.0357,5646791.565585
2024-12-23 15:15:00+00:00,3303.99,3311.59,3283.63,3286.58,3577.2374,2024-12-23 15:19:59.999000+00:00,11791010.845854,32481,1847.6319,6091879.641165
2024-12-23 15:20:00+00:00,3286.57,3304.99,3286.5,3295.84,2409.0666,2024-12-23 15:24:59.999000+00:00,7940602.566603,34200,1636.0906,5393793.44004
2024-12-23 15:25:00+00:00,3295.84,3299.5,3288.0,3297.09,1852.3556,2024-12-23 15:29:59.999000+00:00,6099706.92571,24337,985.0909,3243804.296218
2024-12-23 15:30:00+00:00,3297.08,3303.54,3286.92,3296.65,2598.3449,2024-12-23 15:34:59.999000+00:00,8559246.314897,33373,1066.8929,3516920.271522
2024-12-23 15:35:00+00:00,3296.65,3306.99,3287.15,3303.0,1634.6768,2024-12-23 15:39:59.999000+00:00,5389265.136093,32200,1024.7961,3378992.463737
2024-12-23 15:40:00+00:00,3303.01,3304.8,3287.4,3289.28,1420.1196,2024-12-23 15:44:59.999000+00:00,4678893.723929,20730,785.5474,2588179.665152
2024-12-23 15:45:00+00:00,3289.28,3294.6,3279.42,3292.57,2213.5218,2024-12-23 15:49:59.999000+00:00,7274340.933102,22445,1199.2287,3941752.788814
2024-12-23 15:50:00+00:00,3292.57,3292.57,3269.35,3278.83,3927.1497,2024-12-23 15:54:59.999000+00:00,12871542.637096,22996,2020.2785,6623034.407822
2024-12-23 15:55:00+00:00,3278.83,3287.48,3273.11,3277.2,1651.491,2024-12-23 15:59:59.999000+00:00,5417889.93916,18628,906.609,2974495.461234
2024-12-23 16:00:00+00:00,3277.19,3284.33,3270.91,3283.82,2256.6429,2024-12-23 16:04:59.999000+00:00,7393461.551179,20405,1057.1072,3463597.642023
2024-12-23 16:05:00+00:00,3283.82,3288.55,3273.0,3275.66,1962.0343,2024-12-23 16:09:59.999000+00:00,6437531.843496,22045,1108.045,3635376.465684
2024-12-23 16:10:00+00:00,3275.66,3286.33,3273.52,3278.92,1893.192,2024-12-23 16:14:59.999000+00:00,6211277.083692,25710,1061.573,3482766.853202
